,Symbol,Name,Exchange,Country,Sector,Revenue,RevenueYoY,LastClose,PE
25,ASX:FTT,Dominion Minerals Ltd,Australian Stock Exchange Ltd,Australia,Basic Materials,498887.7519241892,-0.7303161,,
26,ASX:GC1,Glennon Small Companies Ltd,Australian Stock Exchange Ltd,Australia,Financials,9785558.570983673,2.829613,0.61173644169596,4.21801
27,ASX:IBC,Ironbark Capital Limited,Australian Stock Exchange Ltd,Australia,Financials,6735774.3471103795,3.465129,0.36704186501757,9.1548
28,ASX:ICS,ICSGlobal Ltd,Australian Stock Exchange Ltd,Australia,Consumer Non-Cyclicals,630.2739096261364,1.428571,0.42659162699649,0.3572
29,ASX:KAT,Katana Capital Limited,Australian Stock Exchange Ltd,Australia,Financials,9069270.810161497,2.229733,0.79711112099776,5.21263
30,ASX:LAN,Lanyon Investment Company Ltd,Australian Stock Exchange Ltd,Australia,Financials,-85872.96643976806,-1.469398,0.02446945766784,
31,ASX:MEG,Megado Gold Ltd,Australian Stock Exchange Ltd,Australia,Basic Materials,0.0,,0.0719253755691,
32,ASX:MMJ,MMJ Group Holdings Ltd,Australian Stock Exchange Ltd,Australia,Healthcare,585042.487876496,-0.0640569,0.05487090507333,
33,ASX:NAC,NAOS Ex-50 Opportunities Company Ltd,Australian Stock Exchange Ltd,Australia,Financials,24685033.58989189,4.129203,0.90833592857884,2.85741
34,ASX:NCC,Naos Emerging Opportunities Company Ltd,Australian Stock Exchange Ltd,Australia,Financials,21972853.731963042,1282.371,0.78969613382569,3.35401
35,ASX:NSC,NAOS Small Cap Opportunities Company Ltd,Australian Stock Exchange Ltd,Australia,Financials,56482923.28454272,10.49796,0.65993385831443,2.67975
36,ASX:PAF,PM Capital Asian Opportunities Fund Ltd,Australian Stock Exchange Ltd,Australia,Financials,12029341.104239888,4.211822,0.81194109534191,5.87825
37,ASX:RPG,Raptis Group Limited,Australian Stock Exchange Ltd,Australia,Real Estate,308470.88134537527,1.197042,0.02446945766784,
38,ASX:SAU,Southern Gold Limited,Australian Stock Exchange Ltd,Australia,Basic Materials,162655.1586065756,2.873565,0.04745591790126,3.29049
39,ASX:TB8XX,Tianmei Beverage Group Corporation Ltd,Australian Stock Exchange Ltd,Australia,Consumer Non-Cyclicals,75458839.40620783,0.5324135,,
40,ASX:TGF,Tribeca Global Natural Resources Ltd,Australian Stock Exchange Ltd,Australia,Financials,58799913.9861488,2.490717,1.85374679301805,2.94797
41,ASX:TOP,Thorney Opportunities Ltd,Australian Stock Exchange Ltd,Australia,Financials,28779663.656181876,1.826648,0.41523928163604,4.96058
42,ASX:VOR,Vortiv Ltd,Australian Stock Exchange Ltd,Australia,Technology,73408.3730035147,23.75,0.03262594355712,0.54849
43,ASX:YOW,Yowie Group Ltd,Australian Stock Exchange Ltd,Australia,Consumer Non-Cyclicals,12578376.414408805,0.1696466,0.03188444483991,7.60965
44,ATH:ANDRO,Alpha Trust Andromeda Invt Trust SA,Athens Stock Exchange,Greece,Financials,2009182.3957705328,-0.5666517,33.85428743681306,2.51727
45,ATH:CNLCAP,CNL Capital EKES AIFM,Athens Stock Exchange,Greece,Financials,1235495.9884988174,-0.0909215,9.79687427537912,17.45904
46,BAK:CHEWA,Chewathai PCL,Stock Exchange of Thailand (Bangkok),Thailand,Real Estate,48922044.63208685,0.4563832,0.03196622436671,6.51666
47,BAK:CITY,City Steel PCL,Stock Exchange of Thailand (Bangkok),Thailand,Basic Materials,5774891.435464415,-0.2790538,0.08443908323281,
48,BAK:EVER,Everland PCL,Stock Exchange of Thailand (Bangkok),Thailand,Real Estate,97745747.88902293,-0.3262126,0.01115802171291,64.91228
49,BAK:IFS,IFS Capital (Thailand) PCL,Stock Exchange of Thailand (Bangkok),Thailand,Financials,10160989.14354644,-0.1817325,0.07901085645356,10.54708
50,BAK:JSP,JSP Property PCL,Stock Exchange of Thailand (Bangkok),Thailand,Real Estate,36120958.986731,-0.4192977,0.01145958986731,
1,BAK:PG,Peoples Garment PCL,Stock Exchange of Thailand (Bangkok),Thailand,Consumer Cyclicals,16540796.139927624,-0.2126541,0.19300361881785,477.9686
2,BAK:PSH,Pruksa Holding PCL,Stock Exchange of Thailand (Bangkok),Thailand,Real Estate,881916465.6212304,-0.2667872,0.40108564535585,11.80837
3,BAK:RICHY,Richy Place 2002 PCL,Stock Exchange of Thailand (Bangkok),Thailand,Real Estate,24563365.500603136,-0.3176205,0.04282267792521,9.83584
4,BAK:SAWANG,Sawang Export PCL,Stock Exchange of Thailand (Bangkok),Thailand,Consumer Cyclicals,2955215.018094089,0.120512,0.28648974668275,
5,BAK:STHAI,Shun Thai Rubber Gloves Industry PCL,Stock Exchange of Thailand (Bangkok),Thailand,Healthcare,35665259.348612785,0.7848697,,
6,BAK:TCOAT,Thai Coating Industrial PCL,Stock Exchange of Thailand (Bangkok),Thailand,Basic Materials,20941284.68033776,-0.1036119,0.8745476477684,25.60119
7,BAK:THL,Tongkah Harbour PCL,Stock Exchange of Thailand (Bangkok),Thailand,Basic Materials,10446510.856453558,-0.2593613,,
8,BAK:WORLD,World Corporation PCL,Stock Exchange of Thailand (Bangkok),Thailand,Consumer Non-Cyclicals,5945575.99517491,,,
9,BANJ:DEST-R-A,Hemijska Industrija Destilacija ad Teslc,Banjaluka Stock Exchange,Bosnia and Herzegovina,Energy,9544582.814445827,0.0310784,0.13757931566151,18.36896
10,BANJ:KOMF-R-A,KP Komunalac a.d. Foca,Banjaluka Stock Exchange,Bosnia and Herzegovina,Industrials,582772.9348277292,0.0500262,0.02431358595742,0.87907
11,BANJ:LJUB-R-A,RZR Ljubija a.d. Prijedor,Banjaluka Stock Exchange,Bosnia and Herzegovina,Basic Materials,206724.78206724784,-0.4883837,0.26685643123999,29.84085
12,BANJ:RFUM-R-A,Rafinerija ulja a.d. Modrica,Banjaluka Stock Exchange,Bosnia and Herzegovina,Energy,6265118.8993654745,-0.2153036,0.05159224337307,
13,BANJ:SGAS-R-A,Sarajevo Gas ad Istocno Sarajevo,Banjaluka Stock Exchange,Bosnia and Herzegovina,Utilities,2540449.5048330664,0.0109616,0.11860285832889,69.93007
14,BANJ:VKIF-R-A,PViK Izvor ad Foca,Banjaluka Stock Exchange,Bosnia and Herzegovina,Utilities,759763.9803119254,0.0879855,0.01482535729111,0.79365
15,BDP:FORRAS/T,Forras Vagyonkezelesi es Befektetes Nyrt,Budapest Stock Exchange,Hungary,Financials,6913177.216418152,-0.0415746,3.94604909920109,12.85209
16,BEL:AGBC,Agrobacka ad Backa Topola,Belgrade Stock Exchange,Serbia,Consumer Non-Cyclicals,451693.15825846576,-0.3774052,2.46816072662652,
17,BEL:CNPR,Centroprom a.d. Beograd,Belgrade Stock Exchange,Serbia,Consumer Non-Cyclicals,113476.15756738078,1.231411,8.88537861585546,1.27833
18,BEL:IRTL,Iritel a.d.,Belgrade Stock Exchange,Serbia,Technology,6297314.64112943,-0.0795411,11.84717148780729,10.347
19,BEL:JAAB,JAA AUTORSKA AGENCIJA ZA SRBIJU AD,Belgrade Stock Exchange,Serbia,Industrials,318560.5686642314,0.0678779,59.23585743903643,
20,BEL:PUUE,Putevi a.d. Uzice,Belgrade Stock Exchange,Serbia,Industrials,84650182.64389378,0.3112509,2.94204758613881,
21,BEL:SPRU,Sremput ad Ruma,Belgrade Stock Exchange,Serbia,Industrials,40014581.893572904,-0.260949,10.42551090927041,
22,BER:HYW,Hydrotec Gesellschaft fuer Wassrtchnk AG,Berlin Stock Exchange,Germany,Industrials,440731.8091174697,-0.7148494,0.05796967026852,
23,BER:SU3,Sunline AG,Berlin Stock Exchange,Germany,Energy,58320966.47034272,0.0007958,0.03825998237722,0.2555
24,BIT:AUTME,Autostrade Meridionali S.p.A.,Italian SE (Mercato Continuo Italia),Italy,Industrials,76777350.09043267,-0.2676259,32.69489403144275,12.06959
25,BIT:CDR,CdR Advance Capital SpA,Italian SE (Mercato Continuo Italia),Italy,Financials,9727.310671056905,-0.9900916,,
26,BIT:CSP,CSP International Fashion Group S.p.A.,Italian SE (Mercato Continuo Italia),Italy,Consumer Cyclicals,96150813.89417058,-0.2365996,0.49158280387701,
27,BOM:500142,F G P Ltd,Bombay Stock Exchange,India,Real Estate,22807.450433808375,-0.3448276,0.03081006462111,53.83361
28,BOM:500159,Metroglobal Ltd,Bombay Stock Exchange,India,Financials,33645084.06079319,0.024063,1.12169975525338,14.20169
29,BOM:500329,Pentamedia Graphics Limited,Bombay Stock Exchange,India,Consumer Cyclicals,516275.31660342374,0.194507,0.00386793019053,
30,BOM:500422,Transchem Ltd,Bombay Stock Exchange,India,Financials,0.0,,0.26675380624337,9.93409
31,BOM:501630,Anand Projects Ltd,Bombay Stock Exchange,India,Industrials,1160361.8515381692,3.092183,,
32,BOM:503205,Shree Ram Urban Infrastructure Ltd,Bombay Stock Exchange,India,Real Estate,10027942.461203992,-0.2785612,,
33,BOM:503229,Simplex Realty Ltd,Bombay Stock Exchange,India,Real Estate,554318.9441884349,-0.5429056,1.00699561856873,47.78511
34,BOM:503657,Veer Energy + Infrastructure Ltd,Bombay Stock Exchange,India,Energy,1008622.816786817,0.2402742,0.1851271415329,347.0
35,BOM:503675,Wagend Infra Venture Ltd,Bombay Stock Exchange,India,Industrials,0.0,,0.01627198218085,
36,BOM:503691,Sahara One Media + Entertainment Ltd.,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,-1.0,0.39079432614654,
37,BOM:505840,Jaipan Industries Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,1951150.7092316824,-0.3379058,0.1267080579656,40.9677
38,BOM:506016,JRI Industries and Infrastructure Ltd,Bombay Stock Exchange,India,Industrials,14431.38091776647,-0.7373149,,
39,BOM:506863,Swadeshi Industries + Leasing Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,153081.20652746563,-0.0179354,0.02107355069323,
40,BOM:506910,Jaysynth Dyestuff India Ltd(NDA),Bombay Stock Exchange,India,Basic Materials,16940854.012310687,0.0867116,1.07635160819201,12.13828
41,BOM:507833,Computer Point Ltd,Bombay Stock Exchange,India,Technology,706.897586544938,-0.8014981,0.01707224359958,28.26231
42,BOM:507962,Rajath Finance Limited,Bombay Stock Exchange,India,Financials,415913.46506525454,0.1038769,0.10136644637248,125.0823
43,BOM:508860,Diamant Infrastructure Limited,Bombay Stock Exchange,India,Industrials,0.0,,0.00693559896233,
44,BOM:508996,Satra Properties (India) Ltd.,Bombay Stock Exchange,India,Real Estate,4361011.263679469,-0.7419318,0.01200392128095,
45,BOM:508998,Sterling International Enterprises Ltd,Bombay Stock Exchange,India,Energy,61803122.35330208,,,
46,BOM:509048,Lancor Holdings Ltd,Bombay Stock Exchange,India,Real Estate,6955645.510866883,-0.1049156,0.17272308954258,
47,BOM:509470,Bombay Oxygen Investments Ltd,Bombay Stock Exchange,India,Financials,0.0,-1.0,166.32099819274296,3.06978
48,BOM:509563,Garware Marine Industries Ltd,Bombay Stock Exchange,India,Industrials,173244.99336449907,0.160354,0.09883228521317,11.74196
49,BOM:511012,Yamini Investments Company Ltd,Bombay Stock Exchange,India,Financials,329107.5084527612,-0.0759406,0.00733572967169,97.00176
50,BOM:511064,Aplaya Creations Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,1876226.233903075,-0.9043901,0.00266753806243,
1,BOM:511092,Jmd Ventures Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,506365.94620909495,1.582431,0.05188361531434,
2,BOM:511131,Kamanwala Housing Construction Ltd.,Bombay Stock Exchange,India,Real Estate,351949.1033737688,-0.074914,0.13137624957486,
3,BOM:511628,IM+ Capitals Ltd,Bombay Stock Exchange,India,Financials,563273.3359564124,-0.2980955,1.23306946935999,22.49342
4,BOM:512101,Triochem Products Ltd,Bombay Stock Exchange,India,Healthcare,1859060.6264713136,-0.3041863,,
5,BOM:512165,Abans Enterprises Ltd,Bombay Stock Exchange,India,Financials,541165847.5101867,-0.1056017,1.40245813632453,4.93538
6,BOM:512217,Prism Medico and Pharmacy Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,2235874.38563264,-0.3765911,0.0946976012164,
7,BOM:512417,Trinity Tradelink Ltd,Bombay Stock Exchange,India,Financials,19503717.88117452,-0.0558776,,
8,BOM:512587,Zodiac JRD MKJ Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,1156307.3270601728,-0.3087769,0.45948343125421,49.59975
9,BOM:513149,Acrow India Ltd,Bombay Stock Exchange,India,Industrials,0.0,,1.77391281151843,30.78989
10,BOM:513305,Terrascope Ventures Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,7628199.878627017,6.586468,0.0344112410054,7.10803
11,BOM:513528,Glittek Granites Ltd,Bombay Stock Exchange,India,Basic Materials,1913482.404252056,-0.2021657,0.03481137171476,
12,BOM:513699,Solid Stone Co Ltd,Bombay Stock Exchange,India,Basic Materials,2298405.47912318,-0.52849,0.34411241005395,
13,BOM:513713,White Organic Agro Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,18613480.40359851,-0.2664784,0.1199058359064,38.35979
14,BOM:514260,Surbhi Industries Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,2405155.0173056526,-0.3729358,0.0240078425619,0.14852
15,BOM:514266,Zenith Fibres Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,3191787.9840747975,-0.1564856,0.82560303032324,11.82722
16,BOM:514386,Gujarat Cotex Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,825643.3101479816,-0.137921,0.0202732892745,
17,BOM:517471,Koa Tools India Ltd,Bombay Stock Exchange,India,Industrials,0.0,-1.0,,
18,BOM:517481,Artech Power + Trading Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,0.0,-1.0,,
19,BOM:517973,DMC Education Ltd,Bombay Stock Exchange,India,Academic/Educational Services,85547.94566224967,0.0923025,,
20,BOM:519359,Poona Dal And Oil Industries Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,21657288.047428824,0.0323589,0.75691392521557,26.68491
21,BOM:519439,Pioneer Agro Extracts Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,0.0,,0.10243346159746,9.01144
22,BOM:519560,Neha International Ltd.,Bombay Stock Exchange,India,Consumer Non-Cyclicals,31189015.078258894,-0.246348,,
23,BOM:521036,Source Industries (India) Ltd,Bombay Stock Exchange,India,Industrials,6372.748431154177,-0.4646439,0.02934291868677,
24,BOM:521105,Olympia Industries Ltd,Bombay Stock Exchange,India,Basic Materials,18600876.28625351,0.0492288,0.41080086161479,9.19269
25,BOM:521131,Shree Bhavya Fabrics Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,19315869.850817934,-0.2848979,0.14991563910878,5.13369
26,BOM:522005,Austin Engineering Co Ltd,Bombay Stock Exchange,India,Industrials,9261223.999839948,-0.0406772,0.72156904588832,31.80968
27,BOM:522231,Conart Engineers Ltd,Bombay Stock Exchange,India,Industrials,2895597.895312469,-0.1390841,0.45614900867617,12.0793
28,BOM:523007,Ansal Buildwell Ltd.,Bombay Stock Exchange,India,Real Estate,9732459.270028207,0.1504701,0.96764943214783,5.61281
29,BOM:524031,Patidar Buildcon Ltd,Bombay Stock Exchange,India,Real Estate,138376.40295829973,-0.2364052,0.10216670779121,
30,BOM:524174,Kesar Petroproducts Ltd,Bombay Stock Exchange,India,Basic Materials,16577295.249781596,-0.0423678,0.07522457336063,55.83606
31,BOM:524480,Riddhi Siddhi Gluco Biols Ltd.,Bombay Stock Exchange,India,Basic Materials,66375282.59231349,-0.1364653,4.98162733159499,
32,BOM:524540,Secunderabad Health Care Ltd,Bombay Stock Exchange,India,Healthcare,35291.528565998226,-0.9581991,,
33,BOM:526117,Shervani Industrial Syndicate Ltd,Bombay Stock Exchange,India,Real Estate,4253962.961234003,-0.6545522,3.6298524184567,9.57096
34,BOM:526133,Supertex Industries Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,8592460.20366653,-0.4895643,0.10483424585365,9.05134
35,BOM:526141,CDI International Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,,
36,BOM:526315,Divyashakti Granites Ltd,Bombay Stock Exchange,India,Basic Materials,7551318.764129614,-0.058393,1.01566511727164,9.70018
37,BOM:526365,Swarnsarita Gems Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,76780588.32551968,0.0295592,0.23274269594734,4.70352
38,BOM:526473,Elegant Flori and Agrotech India Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,71397.99001006996,-0.4629155,0.03494474861788,
39,BOM:526519,Alpine Housing Development Corp Ltd,Bombay Stock Exchange,India,Real Estate,5624271.928830084,0.0395499,0.30609999266427,13.74861
40,BOM:526727,Garnet Construction Ltd,Bombay Stock Exchange,India,Real Estate,8917251.635534273,-0.0220774,0.29743049396136,
41,BOM:526735,Excel Castronics Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,15364805.83657328,0.5081444,,
42,BOM:526847,Ashirwad Steels And Industries Ltd,Bombay Stock Exchange,India,Basic Materials,210108.6354875926,-0.8074464,0.13671132569973,
43,BOM:526917,CHD Developers Ltd,Bombay Stock Exchange,India,Real Estate,19432494.614907537,0.0006745,,
44,BOM:530039,Lords Chemicals Ltd,Bombay Stock Exchange,India,Basic Materials,9031950.437142802,0.6161309,,
45,BOM:530119,Natraj Proteins Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,19501850.60453081,-0.0513363,1.11303025655047,3.56782
46,BOM:530187,Atharv Enterprises Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,31158.311715160286,-0.3847582,0.02174043520883,67.69103
47,BOM:530251,Risa International Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,0.00506832231862,
48,BOM:530263,Global Capital Markets Ltd,Bombay Stock Exchange,India,Financials,614842.9820408,0.5011736,0.05641843002047,11.09363
49,BOM:530449,Rungta Irrigation Ltd,Bombay Stock Exchange,India,Industrials,5928990.136778015,-0.015287,0.30676687717988,54.04897
50,BOM:530677,Supreme Holdings+Hospitality (India) Ltd,Bombay Stock Exchange,India,Real Estate,6033811.044941348,-0.4224551,0.16405359083967,11.14756
1,BOM:530703,Info Drive Software Ltd,Bombay Stock Exchange,India,Technology,16065194.63024588,0.0173993,,
2,BOM:530745,LN Industries India Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,-1.0,,
3,BOM:530801,Diamond Infosystems Ltd,Bombay Stock Exchange,India,Technology,40087588.61228001,0.0176844,,
4,BOM:530885,Five Core Exim Ltd,Bombay Stock Exchange,India,Technology,510797.1270615068,0.2481377,,
5,BOM:530993,Sarthak Global Ltd,Bombay Stock Exchange,India,Consumer Non-Cyclicals,2504631.5129609006,-0.8108498,0.06615494394836,30.26051
6,BOM:531080,Shri Krishna Devcon Ltd,Bombay Stock Exchange,India,Real Estate,2672134.2305153017,0.1773714,0.19019546385152,11.93785
7,BOM:531137,Gemstone Investments Ltd,Bombay Stock Exchange,India,Financials,271162.5797760602,0.0141458,0.01880614334016,24.53454
8,BOM:531223,Anjani Synthetics Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,35795386.49292102,-0.1746564,0.36812025261585,11.40293
9,BOM:531396,Pagaria Energy Ltd,Bombay Stock Exchange,India,Energy,34035.11813859194,-0.7858253,0.05895259117979,134.1834
10,BOM:531416,Narendra Properties Ltd,Bombay Stock Exchange,India,Real Estate,0.0,,0.27542330494628,1.66116
11,BOM:531463,Global Infratech + Finance Ltd,Bombay Stock Exchange,India,Financials,258991.27048169068,-0.499665,,
12,BOM:531591,BAMPSL Securities Ltd,Bombay Stock Exchange,India,Financials,70723.76976478983,-0.7148156,0.03947956332402,
13,BOM:531645,Southern Ispat and Energy Ltd,Bombay Stock Exchange,India,Basic Materials,89374342.28514647,,,
14,BOM:531693,Yantra Natural Resources Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,,
15,BOM:531694,Rainbow Foundations Limited,Bombay Stock Exchange,India,Real Estate,4617348.333789038,0.3392508,0.21873812111957,7.88462
16,BOM:531712,Trilogic Digital Media Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,2275820.7681175848,-0.6654865,,
17,BOM:531831,Unisys Softwares and Holding Indstrs Ltd,Bombay Stock Exchange,India,Financials,37129.7290448213,-0.9874217,,
18,BOM:531840,IEC Education Ltd,Bombay Stock Exchange,India,Academic/Educational Services,0.0,,,
19,BOM:531842,Lahoti Overseas Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,62697841.294822976,0.1859601,0.30609999266427,7.62654
20,BOM:531870,Popular Estate Management Ltd,Bombay Stock Exchange,India,Real Estate,0.0,,0.08002614187301,
21,BOM:531898,Sanguine Media Limited,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,,
22,BOM:531925,52 Weeks Entertainment Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,0.02867603417116,0.96202
23,BOM:531931,Sai Capital Ltd,Bombay Stock Exchange,India,Financials,11812258.671165913,-0.5358577,,
24,BOM:531945,Sunitee Chemicals Ltd,Bombay Stock Exchange,India,Financials,0.0,,,
25,BOM:531996,Odyssey Corporation Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,2524700.735573621,34.01655,0.06388753659529,2.61449
26,BOM:532022,Filatex Fashions Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,2309847.8836419894,-0.7048189,0.05681856072984,81.56232
27,BOM:532031,Sarang Chemicals Ltd,Bombay Stock Exchange,India,Basic Materials,0.0,-1.0,,
28,BOM:532072,Interworld Digital Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,0.00213403044995,109.589
29,BOM:532123,BSEL Infrastructure Realty Limited,Bombay Stock Exchange,India,Real Estate,0.0,-1.0,0.02600849610873,44.18763
30,BOM:532145,H.S.India Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,1370915.832505285,-0.6033309,0.08536121799788,
31,BOM:532333,HB Portfolio Ltd,Bombay Stock Exchange,India,Financials,2863904.8755926937,0.4692809,0.45214770158252,5.59339
32,BOM:532350,Padmalaya Telefilms Limited,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,-1.0,0.03094344152423,
33,BOM:532723,MPDLLtd,Bombay Stock Exchange,India,Real Estate,411080.95311134966,-0.455719,0.16538735987089,
34,BOM:532911,Parle Industries Ltd,Bombay Stock Exchange,India,Basic Materials,1980.7803882601647,-0.9972928,0.1168381671346,
35,BOM:533285,RDB Realty + Infrastructure Ltd,Bombay Stock Exchange,India,Real Estate,7987944.06172683,0.3312986,0.53950957312722,16.9329
36,BOM:533427,VMS Industries Ltd,Bombay Stock Exchange,India,Industrials,20444065.061253343,-0.131129,0.17005555148015,9.36068
37,BOM:534338,Max Heights Infrastucture Ltd,Bombay Stock Exchange,India,Real Estate,1379628.0118171936,-0.7616883,0.19339650952645,20.5301
38,BOM:534563,MaxAlert Systems Ltd,Bombay Stock Exchange,India,Basic Materials,762043.7342865336,-0.5172702,0.06668845156084,
39,BOM:534691,Comfort Commotrade Ltd,Bombay Stock Exchange,India,Financials,10568121.586384883,1.202643,0.19953184707004,2.09889
40,BOM:534734,Ram Minerals and Chemicals Ltd,Bombay Stock Exchange,India,Basic Materials,0.0,-1.0,0.00653546825296,122.5
41,BOM:535141,Sunstar Realty Development Ltd,Bombay Stock Exchange,India,Real Estate,0.0,-1.0,,
42,BOM:535205,Mystic Electronics Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,,0.05761882214857,
43,BOM:535279,Bothra Metals and Alloys Ltd,Bombay Stock Exchange,India,Basic Materials,426579.74938479904,-0.8313997,0.04894932344566,
44,BOM:535694,Edynamics Solutions Limited,Bombay Stock Exchange,India,Consumer Cyclicals,0.0,-1.0,0.00666884515608,
45,BOM:536737,Amrapali Capital and Finance Servics Ltd,Bombay Stock Exchange,India,Financials,24948069.702769566,1.353371,0.09136317863836,
46,BOM:536799,SRS Finance Ltd,Bombay Stock Exchange,India,Financials,2394523.5443578237,-0.6609069,,
47,BOM:538019,Oceanaa Biotek Industries Ltd,Bombay Stock Exchange,India,Industrials,3421780.4482797715,-0.2928986,0.04108008616148,
48,BOM:538128,Women-s Next Loungeries Ltd,Bombay Stock Exchange,India,Consumer Cyclicals,5169252.622523357,-0.2514304,,
